Country,January,February,March,April,May
Qatar,0,1,781,13409,14096
Romania,0,3,2245,12240,12567
Russia,2,2,2337,106498,114431
Rwanda,0,0,75,243,249
Saint Kitts and Nevis,0,0,8,15,15
Saint Lucia,0,0,13,17,17
Saint Vincent and the Grenadines,0,0,1,16,16
San Marino,0,1,236,569,580
Sao Tome and Principe,0,0,0,14,16
Saudi Arabia,0,0,1563,22753,24097
Senegal,0,0,175,933,1024
Republic of Serbia,0,0,900,9009,9009
Seychelles,0,0,10,11,11
Sierra Leone,0,0,1,124,136
Singapore,13,102,926,16169,17101
Slovakia,0,0,363,1396,1403
Slovenia,0,0,802,1429,1434
Somalia,0,0,5,601,601
South Africa,0,0,1353,5647,5951
South Sudan,0,0,0,35,45
Spain,0,45,95923,213435,213435
Sri Lanka,1,1,143,663,690
Sudan,0,0,7,442,533
Suriname,0,0,9,10,10
Sweden,1,12,4435,21092,21520
Switzerland,0,18,16605,29586,29705
Syria,0,0,10,43,44
Taiwan,10,39,322,429,429
Tajikistan,0,0,0,15,15
United Republic of Tanzania,0,0,19,480,480
Thailand,19,42,1651,2954,2960
East Timor,0,0,1,24,24
Togo,0,0,34,116,123
Trinidad and Tobago,0,0,87,116,116
Tunisia,0,0,394,994,998
Turkey,0,0,13531,120204,122392
Uganda,0,0,44,83,85
Ukraine,0,0,645,10406,10861
United Arab Emirates,4,21,664,12481,13038
United Kingdom,6,44,26135,184928,191689
Uruguay,0,0,338,643,648
United States of America,7,68,188172,1069424,1103461
Uzbekistan,0,0,172,2039,2086
Venezuela,0,0,135,333,335
Vietnam,2,16,212,270,270
West Bank,0,0,119,344,353
Western Sahara,0,0,0,6,6
Yemen,0,0,0,6,7
Zambia,0,0,35,106,109
Zimbabwe,0,0,8,40,40
